amigo,sexo,publicacion
am_2,f,"Hola amigos, solo para comunicarles que ya salió a la venta mi libro ""Me acuesto y mañana me levanto temprano a hacer ejercicio"" en el que hablo del autoengaño y sus consecuencias."
am_2,f,#GorditaFelizGgtl???
am_2,f,Feria 2k18 con amigos.
am_2,f,Mi cerebro me dice gimnasio pero mi corazón me dice milanesa con papas
am_2,f,"Cuando las palabras fallan, la música habla"
am_2,f,"No lo digo yo, lo dice la ciencia"
am_2,f,Never stop pretending you are an unicorn
am_2,f,Venga hija a escribir mas historias
am_2,f,Quiero bailar esto con ustedes plissss
am_2,f,"Si estas leyendo esto, incluso si apenas hablamos, comenta un recuerdo"
am_2,f,"De todas formas y por suerte, alegría me sobra"
am_2,f,Que crecer no signifique dejar de ser niños
am_2,f,Esta noche miraremos al cielo y en el veremos a una nueva estrella
am_2,f,Cualquiera puede escribir y decir lo que piensa sin pensar…
am_2,f,"Sueña sin miedo, vive sin limites"
am_2,f,Este semestre conoci gente espectacular
am_2,f,Lee entre líneas
am_2,f,Bryan Magaña al fin se me va a hacer
am_2,f,¿Por qué si whatsapp se cayo tu no has caído en mis brazos?
am_2,f,#chiquitests
am_2,f,Sé que siempre he sido así y no tengo remedio ni lo quiero tener – Enrique Bunbury
am_2,f,"Hola amiguitos, podrían ayudarme a contestar esta encuentra porfa"
am_2,f,Ya lo sabía jajajaja
am_2,f,Ando tragando porque #GorditaFelizGgtl
am_2,f,Ish ush ay ay ay Si quedó jajajaja
am_2,f,No toda distancia es ausencia ni todo silencio es olvido.. 
am_2,f,FP Fabiola Pedraza
am_2,f,photoshooting #shooting #model #fotografía #fotógrafo #photography#nikon
am_3,m,Puedo correr 15 kilómetros sin parar y no me canso... De decirte que me encantas.
am_3,m,"Muy guapa y todo, pero respondes a los mil años y yo quiero una novia, no una cita en el IMSS"
am_3,m,Racismo es que me asalten por güero.
am_3,m,Yo como mis calcetines: Sin pareja.
am_3,m,¿No odian cuando están comiendo cereal y las últimas piezas están como: "INTENTA ATRAPARME IDIOTA JAJAJAJAJAJAJÁ"?
am_3,m,Estamos a 170 días de que sea navidad.
am_3,m,"Recuerda que si caímos en picada, es porque a veces fuimos nubes con la mente"
am_3,m,¿A que hora va a dar el grito en Washington el Trump?
am_3,m,Vota libre. Siente tu liga.
am_3,m,"Muy buenos días, espero hoy si poder usar el Trinomio Cuadrado Perfecto."
am_3,m,Está genial <3
am_3,m,Amigos! mañana los Moussier vamos a grabar un breve video para un concurso y necesitamos gente con actitud que quiera salir con nosotros. Quién se anima? Sería como a las 11:30 am aprox. en Irapuato.
am_3,m,Achis achis ya no me cuadra
am_3,m,¡La necesito!
am_3,m,Adiós señor mundial
am_3,m,¡No toques mi basura!
am_3,m,Yo después de ver los precios de los boletos para rammstein
am_3,m,"Nein me quiero ir, herr Mundial"
am_3,m,Ahora lo entiendo todo
am_3,m,Osorio hermano ya eres mexicano
am_3,m,¿Amigos quién está cuidando el petróleo?
am_3,m,Que bonito es esto joder
am_3,m,Yo en estos momentos XD
am_3,m,Cuando me llega una notificación tuya bb
am_3,m,¡Es genial formar parte de ésta edición del FIVAC!
am_3,m,"Nunca me dejes morir, hermosa <3"
am_3,m,Pues nada empezando el día aquí en el GYM.
am_3,m,"El four loko más culero es cuando estás loko four ella, pero ella no está igual de loko four you."
am_3,m,Yo cuando entro a trabajar jajaja
am_3,m,Puro pinche smartwatch
am_4,m,Por qué? maldición.
am_4,m,"Lo siento profe, mi perro se comió mi repositorio de GitHub"
am_4,m,El chiste se cuenta solo
am_4,m,No tendrás preocupación porque te bajen a la que te gusta si eres el único hombre. 
am_4,m,Punto para los bailarines
am_4,m,"Y entonces los de la familia primero, en que se basaban? Si eran católicos la mayoría"
am_4,m,Que fuerte
am_4,m,RGB >:V
am_4,m,"Eso de ignorar y poner excusas, el 99% de las ocasiones no sirve."
am_4,m,"es oficial, me largo a ver Nightwish!"
am_4,m,Como cuando el que te acaba de flamear pide heals
am_4,m,Me emperra
am_4,m,Pues la verdad me sorprende que sólo se hayan robado una nave
am_4,m,Sigue estando interesante
am_4,m,Más veladores Xiao Lin por favor 
am_4,m,Cualquier parecido con la realidad si es verdad
am_4,m,Sigo con 30 :'( les sigo fallando Hacen falta: Tank Main y off Healer off DPS Flex
am_4,m,V"": voto por mi mismo?
am_4,m,Anímense >:v
am_4,m,Estos si son reyes y la tengo en casa :')
am_4,m,Soy un pinshi pony ejemplar madafakas >:v
am_4,m,Maestrazos
am_4,m,El siguiente semestre :""v
am_4,m,Best 24
am_4,m,Che juego perro
am_4,m,Y de esos hay cada semestre xc
am_4,m,Otra promocion o que David Ralo
am_4,m,"Ahora entiendo que las circunstancias en las que uno nace no importan. Lo que si importa es lo que haces con el don de la vida, eso es lo que te define. #Mewtwo"
am_4,m,Para pensar
am_4,m,No quieres hacer alianza para el mcu? Pues te compro
am5,f,"como me encula esa dama 🥴💖"
am5,f,"Los ojos no mienten"
am5,f,"Lo q más me awita es q ni la conocí ☹"
am5,f,"Esta bien bonito, ojala un día lo vuelva a experimentar"
am5,f,"No mmn como le hacen para conseguir personas así?"
am5,f,"Hola amistades, voy a borrar mi cuenta, ni hablo con nadie veda pero cualquier cosa ahí esta mi insta 😔🤙🏼"
am5,f,"T amo Joji"
am5,f,"No ya no me quiere, pero ta bien 👍"
am5,f,"𝘐 𝘴𝘦𝘦 𝘺𝘰𝘶 𝘪𝘯 𝘢𝘯𝘰𝘵𝘩𝘦𝘳 𝘭𝘪𝘧𝘦, 𝘸𝘩𝘦𝘯 𝘸𝘦 𝘢𝘳𝘦 𝘣𝘰𝘵𝘩 𝘤𝘢𝘵𝘴"
am5,f,"Ufffffffff saquen el vodka barato"
am5,f,"Soy"
am5,f,"Un día"
am5,f,"Pa escuchar si estuviésemos juntos bien pedos 🤧🤧🤙🏼"
am5,f,"No pues nadie"
am5,f,"Avr el suyo"
am5,f,"Ayyy yo sí quiero"
am5,f,"Jsjjsjssjjsaja si me rei, pero F"
am5,f,"En cucharita unu"
am5,f,"Directo para tus brazos" 
am5,f,"Para: Diosito"
am5,f,"Pinch3 serie tan vrgs, esta buenísima y confirmó Nate también era un pndgooooo"
am5,f,"En efecto"
am5,f,"Me sentí re identificada, que bonito"
am5,f,"Los indios son lo besto en el potochop"
am5,f,"Si recomiendo 🥵🥵🥵"
am5,f,"Reeee quiero"
am5,f,"Y no tener ansiedad por la situación ☹️"
am5,f,"JAJAJAJAJAJAJAJAJAJJA"
am5,f,"Aunque no los conozca jsjsjjsjs"
am5,f,"Ya enculense de mí, si se querer bonito 😔🤙🏼"
am6,f,"T amo Matt x ti no me he salido de la universidad y no me he dado de baja de la vida 😫♥️"
am6,f,"Q me pasen lo de Rafa pq no c ni como se hace"
am6,f,"Nocierto sicierto"
am6,f,"Me disfrace de morra con autoestima ggg"
am6,f,"I'm not a picture perfect portrait but I am working on it 🕷️"
am6,f,"Sobress 🕷️"
am6,f,"Billie Joe, Matt tuck y Axl, les rezo todos los días, q me pisen xfaaa 😩🛐♥️"
am6,f,"Tuve fe 👍"
am6,f,"*Hacen hits de forma orgánica sin necesidad de un fandom tóxico dando stream*"
am6,f,"Rocket queen 👑♥️"
am6,f,"Fue por las tortillas o q?"
am6,f,"No pendejo, nos graduamos así, por favor"
am6,f,"Si se antoja la vdd"
am6,f,"Me siento como cuando tenía 14 años y estaba re enamorada de estos weyes ❤️‍🔥"
am6,f,"Súbete al Eva 😠"
am6,f,"Yo cuando entre a las fundas y le dije al señor que iba a ir a calentar mi comida pero en realidad le hablé a mi jefecita para que fuera por mi, be like:"
am6,f,"Ya tenía rato sin subir algo aquí 😮‍💨"
am6,f,"Mi jefa jsjsj"
am6,f,"No te tocaba krnal 🤧🤙"
am6,f,"Un psicólogo para el cumpleañero 🥳"
am6,f,"Kn pa hacer una pandilla y que nos partan la madre bn sabroso?"
am6,f,"Yare yare..."
am6,f,"Weon, en primer lugar, ¿qué haces revisando a quien le da me encanta tu pareja? Eso ya es bastante enfermo por si solo, luego, tu pareja no tiene porque estar cumpliendo la función de tu terapeuta, si tienes problemas de autoestima y un ""me encanta"" o que siga a tal morrx en insta te afecta tanto busca ayuda psicológica, eso no es normal. Arreglen todos sus pedos antes de tener pareja, porque nadie tiene porque que cargar con los traumas o problemas psicológicos de nadie."
am6,f,"Perdón, es que en mi casa si me quieren y si se preocupan por mi xd"
am6,f,"Te adoro Saiki Ku, nomás xti no me suicido 🤧"
am6,f,"kn pa' unos doritos con salsa¿"
am6,f,"Headphone c:"
am6,f,"Si soy."
am6,f,"Soy el hijo de la rabia y el amor ❣️"
am6,f,"Neta tenemos que traer todo eso? Yo nomás traigo un labial :c"
am7,m,"Ni pedo nos empinó un equipo de brasileños de tercera"
am7,m,"Cómo te remontan un 3-1 me quiero suicidar"
am7,m,"Los del cruz azul viendo que el pum🅱️as le está remontando"
am7,m,"No pongas ""UwU"" porque podría ser tu próximo jefe  🤑🤑👌🏾"
am7,m,"pq clases si ya es navida"
am7,m,"K, cómo que no?"
am7,m,"Pero que truene la bocina"
am7,m,"QUE RICOOOOOOOOO"
am7,m,"Kien me da megacaballero"
am7,m,"Hoy es martes con M de ""𝑀𝑒 𝑡𝑖𝑒𝑛𝑒𝑠 𝑏𝑖𝑒𝑛 𝑐𝑙𝑎𝑣𝑎𝑑𝑜 𝑦 𝑐𝑙𝑎𝑟𝑜, 𝑝𝑜𝑟 𝑡𝑖 𝑑𝑒𝑗𝑜 𝑡𝑜𝑑𝑜 ℎ𝑎𝑠𝑡𝑎 𝑙𝑎 𝑚𝑎𝑛𝑒𝑟𝑎 𝑒𝑛 𝑞𝑢𝑒 𝑡𝑒𝑛𝑔𝑜 𝑑𝑒 𝑓𝑢𝑚𝑎𝑟""❣️✨"
am7,m,"Nice"
am7,m,"La música de Junior H mejora la perra bastarda asquerosa vida."
am7,m,"ustds no tienen idea d cuanto me afecta un jijijija en el clash royal"
am7,m,"Ven hermosa yo te hago feliz y te canto corridos tumbados <33"
am7,m,"Mucho texto 🥰"
am7,m,"Labios hermosos, su rostro espectacular<33"
am7,m,"No tomo mas hasta octubre."
am7,m,"Como me enqla esa flaca"
am7,m,"Si no contesto es por que mi hijo anda viendo videos de paw patrol en el youtub"
am7,m,"Me da un tostón de afecto bn rayado xfa"
am7,m,"pongan caifanes"
am7,m,"Mañana a desayunar tequila amigos"
am7,m,"Desde que fumo me canso mucho al correr, voy a tener q dejar de correr😞"
am7,m,"mejor hot que sad, no?"
am7,m,"tengo el alma enamorada nomas de pensar corazón, de soñarme noche a noche dueño de tu amor"
am7,m,"no sé pq facebook me pregunta q en q ando pensando, si es obvio q en una miche"
am7,m,"Que vivan los corridos tumbados y ella cuando sonríe ❤️"
am7,m,"Ya me voy a dormir si ocupan algo me vale vrga"
am7,m,"Apenas iba hacer tarea y me acorde que no estudio, ni pedo a drogarme"
am7,m,"discúlpame el horariooooo, baby te extrañooooo"
am8,m,"Yo esperando a que me metan a un grupo llamado ""posada"""
am8,m,"Estoy esperando... anciano."
am8,m,"En las clases* 😩"
am8,m,"Sí son."
am8,m,"""No te la puedo pasar, pero si quieres te explico"" 🚩🚩🚩🚩🚩🚩🚩"
am8,m,"Yo cuando me invitan una Tecate light"
am8,m,"Mejor correme de la peda qlero,que son esas mmdas de no dejarme hacer huevo revuelto en la cocina"
am8,m,"La neta tienen frío porque quieren. Aquí estoy yo. 😏"
am8,m,"estuve mame y mame con las fiestas d jalowin y al final no voy a ir a ninguna"
am8,m,"Gauss y Jordan viendo como no puedo resolver una matriz 2x2"
am8,m,"Cuando ya cobraste la beca:"
am8,m,"Soy"
am8,m,"Yo despidiéndome de los extraños que conocí en el baile"
am8,m,"Sabes que ya empieza el frio cuando ves a las ardillitas con su champurrado."
am8,m,"Ojo con que te guste Bad Bunny pq te beso"
am8,m,"Cuando se acaba halloween y el vecino sigue colgado."
am8,m,"Mame y mame con la fiesta de disfraces y ni para el cover junté"
am8,m,"Yo detectando quien dejo de seguirme en Instagram para darle unfollow también"
am8,m,"siesta de 20 minutos? No gracias, yo puras de 4 horas"
am8,m,"En maestría *"
am8,m,"Cuando se acaba de poner el semáforo en verde y ya te están pitando"
am8,m,"El día d mis xv quiero q anden bien prendidos, si no ni vayan"
am8,m,"Algún bautizo por ahí?? Ocupo feriecilla"
am8,m,"Calmese doña, es Halloween no Tijuana"
am8,m,"Buenos días nns."
am8,m,"Sí son. 😩"
am8,m,"Los servidores que uso de la uní*"
am8,m,"Sí soy."
am8,m,"Yo con los alumnos regresando a presencial *"
am8,m,"Perfectos para irme de pata de perro"
am_9,f,"Con la sister 👻🥳"
am_9,f,"Feliz día ✨👷🏻‍♀️👷🏻‍♂️"
am_9,f,"Vivir la vida como jazz"
am_9,f,"Lo necesito"
am_9,f,"Compren! Compren! 👌🏼👌🏼"
am_9,f,"Termine súper cansada, pero sin duda una gran experiencia ✨🪨🍃"
am_9,f,"Como olvidarlo 🤣"
am_9,f,"En el autocinema con el clásico ❤️ los envidiosos dirán que es prestado 😒"
am_9,f,"Muchas felicidades Ing. Guzmán ♥️🎉 Te quiero ✨💕"
am_9,f,"Chale..."
am_9,f,"Casa Habitación 8x20"
am_9,f,"Únete a nuestro equipo ✨ Proyecto- El cielo es de todo-"
am_9,f,"Es por tu bien abuelita 😅"
am_9,f,"Que talento! 🤣"
am_9,f,"6 años después 🥰"
am_9,f,"Pueden dar ❤️ a la foto original por fa 🥺💕"
am_9,f,"Isra ya tenemos opciones para el sábado 😅😊"
am_9,f,"Jeje este es bueno 🤣💕"
am_9,f,"Pero cuando me necesitan ahí estoy 😅"
am_9,f,"En corto! 🤣"
am_9,f,"Que bonito!! 💕"
am_9,f,"Lo necesito 💕🤩"
am_9,f,"🤣 kilos mortales"
am_9,f,"Ratita scout 💕"
am_9,f,"Gracias por acompañarnos chicos, seguimos en contacto con todos ustedes ⚜️❤️. Mucho éxito con este nuevo renacer 👏🏻👏🏻"
am_9,f,"Si lo necesito 😊"
am_9,f,"Jajajaja cuando nos andábamos peleando por Mané"
am_9,f,"Despejar la mente 🍃🏕💕"
am_9,f,"Que no se te salga lo tlacuache 😂😂"
am_9,f,"Foros de Provincia 2020"
am_10,f,"Jennifer yo dándote consejos 🤡😂🤭"
am_10,f,"Hay si 🙃🤭"
am_10,f,"La ODONTOLOGIA es una profesión que descubre sonrisas🌈💜🦷👩🏻‍🎓 Ya casi 🔋✨"
am_10,f,"Y si eh 😂😂😂😂"
am_10,f,"Anahí tuuu viendo que si hay muñecas más malas que tu amiga 😂"
am_10,f,"Si soy 🙂🤭🤠"
am_10,f,"Desde hace 4 años siempre confié en ti amika dientito🦷🤞🏻💜🌈✨ Estefania🙈"
am_10,f,"Soy de día y de noche 🥺😂"
am_10,f,"Porfis🥲😩"
am_10,f,"Bonito sábado🙂🌈✨"
am_10,f,"Ay ay ay 🤠🤠🤠"
am_10,f,"Con confianza 🤭"
am_10,f,"Perdón 🤭🥲😂"
am_10,f,"Ya no me creo 🤡😂"
am_10,f,"Porfis🙏🏻🥺🙇🏻‍♀️😂"
am_10,f,"Perdón va🙇🏻‍♀️🤭"
am_10,f,"Ocupó feria 😐🤔😂"
am_10,f,"Eres mi música y mi mejor canción🦖💜"
am_10,f,"Pregunta sería 🤭🤩"
am_10,f,"Ufff de eso si pregúntenme 😂😂😂"
am_10,f,"Y que tieneeeee? 😂"
am_10,f,"¿Por que ser miserable cuando puedes ser feliz? Para mi es una elección obvia 🌺"
am_10,f,"Pues bueno ya será pa la próxima 🤡"
am_10,f,"Yuneri Mandujano prima esto es en serio ?? Jajajaja"
am_10,f,"Si quierooooo😩😩😩"
am_10,f,"Jennifer ueeeei si 💅🏻🥺😂"
am_10,f,"FELIZ DÍA 🦷🤞🏻✨"
am_10,f,"Yo creo ya perdí práctica 🥺🤭"
am_10,f,"Eso todos lo sabemos obviamente 🙂🤭"
am_10,f,"Capturar un momento mantiene ese instante con vida para siempre 🖤✨"
am_11,m,"Se llama amor propio, 4 meses y seguiré hasta convertirme en mi mejor versión"
am_11,m,"Juro solemnemente convertirme en mi mejor versión"
am_11,m,"Yellow days 🤗😘"
am_11,m,"Believe in yourself ... in the end no one is worth more than yourself"
am_11,m,"Estoy bien cachetón 😅😝🙃😝"
am_11,m,"Vístete hoy como si fueras a conocer a tu peor enemigo"
am_11,m,"Que poco nos atrevemos para lo corta que es la vida ..."
am_11,m,"Se les acabó su gordito 😘😉🥺🤭😏"
am_11,m,"Necesito vacaciones 🥺😅"
am_11,m,"Recorcholis!!!"
am_11,m,"Como hemos cambiado 😱😱😅😅😍😍😍🥰🥰"
am_11,m,"El estilo es una forma de decir quién eres sin tener que hablar. ❤️😘"
am_11,m,"Que otra vez debería de ir a NY 🤭🙏"
am_11,m,"Muy motivador pero me causa cierto nivel de risa cx 😅"
am_11,m,"Desconectándose del mundo..."
am_11,m,"Es perfecta 😍"
am_11,m,"Nuestras aventuras en la gran manzana 😭... Los mejores recuerdos 😊😊🎊😝"
am_11,m,"Una combinación de un poco de Salem y otro de Garfield"
am_11,m,"Exacto, mil veces el cansancio físico"
am_11,m,"La mejor navidad jajajaj 🎄🎄🎄🎄🎄"
am_11,m,"Mis padres jajaja 🤣"
am_11,m,"Solo me falta una que otra... Necesito terminarlas cx c:"
am_11,m,"Y yo que ya quería ejercer pero con esto no se puede 💔"
am_11,m,"Unos tacos con su coca a quien gane jaja cx"
am_11,m,"Se tomarán las medidas sanitarias necesarias y contamos con túnel de desinfección, así como con baño de alcohol jajajajjajaja"
am_11,m,"Cuídense  amigos 😊"
am_11,m,"Qué pedo?? Obvio los tíos somos los mejores cuidando niños, o no?"
am_11,m,"Viajar, viajar, viajar ... 🥰"
am_11,m,"Decidido... me compro un perrito 🐶"
am_11,m,"Exacto, todos tenemos diferentes ritmos de crecimiento 😊😊😊"
am_11,m,"Necesito un tatuaje ❤️🥰"
am_12,m,"Heanme ahí, haciéndole al cuento 🙂, como si supiese jugar 🤣, bueno, lo intente, se hizo lo que se pudo 😌"
am_12,m,"A veces pasa 😌"
am_12,m,"Yo bien filosófico🤓, como llegué a esas conclusiones 🤔"
am_12,m,"Uno como quiera pero las criaturas, seguramente eso fue lo que pensó el perro 😭"
am_12,m,"De pijama como de que no 😎"
am_12,m,"Momentos que nunca olvidaré... Extraño a la Estudiantina 🥺"
am_12,m,"A la bestia, este capítulo de Tom y Jerry no lo habían visto 😂😂"
am_12,m,"Eso es a lo que yo le llamo ser cool😎 y hacerce notar🤣🤣"
am_12,m,"Amigos, ya supe cómo activar mis recuerdos 🤭, joyita 💎 de canción"
am_12,m,"Amigos les comparto para quien guste apoyar🙋🏼, pueden comunicarse con su servilleta✌️, o con los contactos que aparecen en el flayer, lo importante es apoyar, cuidense y tomen agüita 🖖"
am_12,m,"Hacía tiempo que no hacía esto de la plantación, traigo unos dolores musculares de aquellos 😓, pero la verdad vale la pena🌲🌳, tomar parte para reducir un poco la huella ambiental que hacemos cada uno de nosotros, además de contribuir con la #reforestación2021 😃🌱"
am_12,m,"Una verdadera joyita 💎 no me dejaran mentir, una shulada 🤟🥰🥺"
am_12,m,"Una pequeña parte de mi familia 💙"
am_12,m,"Jeje, no lo canto pero si tengo que decirlo completo, soy medio dislexico 😅"
am_12,m,"Uno ya no puede circular libremente 😔, por eso nunca lleven platanos ilegales 😌😂🤣"
am_12,m,"Eso quiere decir que las brujas estás hechas de plasma 😌, si si si"
am_12,m,"Ni la de estrellita donde estas me sale😅, y no solo eso si no que es todo un mundo en mi miniatura  por eso su nombre Miniatur Wunderland💁"
am_12,m,"Mueran de envidia 😎"
am_12,m,"He vivido engañado toda mi vida😔, ahora que, no me digan que la luna no es de queso 😱,  entonces la leche con chocolate viene de las vacas cafés 😲"
am_12,m,"La eléctrica es mi pasión 😎"
am_12,m,"😌 ahí que dice?"
am_12,m,"Amigos, me grabaron si que me diera cuenta 🤭"
am_12,m,"No recordaba esa etapa en la que fui un dibujante🤭 (malísimo por cierto 😜), a eso de mis 16 o 17 años cuando era todo un jovenzuelo, que recuerdos 🥲"
am_12,m,"Una verdadera joyita no me dejarán mentir👌🤌👍, como me encanta escuchar este tipo de coros👀"
am_12,m,"Ya me ví cuando tenga mi centro de reparación 😎😁"
am_12,m,"Y sin ser músico, tómala sistema 😎"
am_12,m,"Suele pasar💁🤷"
am_12,m,"Que bonito es recordar 🥲"
am_12,m,"Uhh, la la chulada,  una verdadera joyita no me dejaras mentir👌🤌😋🤤"
am_12,m,"Me dió justo en la pobreza🤤😋"
fsm,f,"Feliz cumpleaños! Que hoy, Mañana y siempre tu vida."
fsm,f,"Amigos de Leon, Gto. Una excelente opción para atención psicológica. La salud mental es tan importante como la física"
fsm,f,"Mí familia, siempre a mi lado, siempre haciéndome sentir tan única y especial. Gracias por tanto, LOS AMO"
fsm,f,"Mis amores, Mi TRIBU"
fsm,f,"Esta gran mujer es un encanto, músculos por fuera y un enorme corazón por dentro."
fsm,f,Por una semana llena de logros ..
fsm,f,Iniciando semana con los mejores deseos
fsm,f,"Sin prisa, pero sin pausa...."
fsm,f,"Motivandome, después de una semana de lunch a las 6 am ... claro que merezco ese lugar!!!!!"
fsm,f,"Ahora todo tiene sentido.... lo mío, lo mío no es disciplina es fealdad"
fsm,f,Buenos días!!! A Trabajar con toda la actitud
fsm,f,"Las queremos Rosa Mendoza Vera y Fer que esta nueva etapa sea maravillosa, llena de experiencias enriquecedoras, sueños cumplidos y nuevas oportunidades."
fsm,f,"Rodeate de gente con sueños grandes, hechos de corazones que latan fuerte, que sus bocas hablen desde las emociones e ilusiones y que no tengan miedo de fsm,f,ensuciarse los zapatos ni las manos."
fsm,f,Por personas como ustedes… es que se demuestra que Jaral del Progreso es digno de realizar eventos de esta calidad.
fsm,f,"Ha sido un gusto participar en la primer feria internacional en el municipio, además del curso de profesional de parrilla argentina, dirigido por el Chef Carlos López, director de la escuela Argentina de parrilleros, fue una oportunidad para dar a conocer el talento, el arte y la mágia de nuestra población, así como de comunidades y municipios aledaños."
fsm,f,Miren esta belleza de pulseras que encontré en el Festival
fsm,f,Salí en la portada Que siga el éxito en este fabuloso evento y sea el 1ero de muchos
fsm,f,Esto es algo de lo que encontrarás en este maravilloso evento
fsm,f,No te lo puedes perder!!
fsm,f,"Si la felicidad se mide por momentos, los mas hermosos los he pasado con estas personas. Paulina Saldaña  Isaac Saldaña Carlos Montalvo Rosariio Saldaña
fsm,f,Aviso urgente.... Próximamente en la puerta de mi cuarto"
fsm,f,"Trendy ""Detalles que transforman tu evento""  En este trabajo he tenido la oportunidad de conocer mucha gente valiosa;  clientes que han confiado en mí (gracias, gracias, gracias), decoradores creativos(valoro mucho colaborar con gente tan comprometida), banqueteros (llenando de sabor los eventos) y obvio mi gran equipo de trabajo (siempre dispuestos... son los mejores)"
fsm,f,Espíritu de la flojera.... abandona este cuerpo trabajador
fsm,f,"No puedes faltar, podrás disfrutar de la gastronomía local y regional. Música en vivo, actos culturales, zona para niños y mucho más...."
fsm,f,Make up Rosario Saldaña Beauty & skincare  un honor ser modelo de mi hermana Rosariio Saldaña  haces magia con las brochas. Te quiero
fsm,f,"No se pueden perder este gran evento, disfruta  en familia de la deliciosa gastronomía de la región, área para niños, artesanías y mucho más"
fsm,f,En pareja es mejor terminando rutina
fsm,f,Julieta Maria Esdras Padron Aguillon y Erik  Rosariio Saldaña  Erik Ramon Quezada amenizando nuestra noche mexicana. Con el jarabe tapatío que le enseño su madrina Espe Ramirez
fsm,f,Noche mexicana improvisada con mis amores Esdras Padron Aguillon
fsm,f,Mi Jaral pueblo mágico
arm,f,Felicidad pura
arm,f,Cantar las canciones de Bad Bunny mientras van en el carro
arm,f,Nunca me había identificado tanto con un meme
arm,f,TortillaLand
arm,f,"Así estaríamos nosotros dos, pero tú estás entre los de 30 a 39 y yo entre los 18 a 29"
arm,f,""El que no arriesga no gana"" dicen — *yo arriesgándome*
arm,f,-Todas las anteriores
arm,f,"Mark Zuckerberg, si no le sabes no le muevas we"
arm,f,Pura perdida de tiempo
arm,f,X: No te puede gustar un señor de 42 años. El señor de 42 años:
arm,f,Se viene rata inmunda remix brrrr
arm,f,""Mi hija esta bien"". Señora su hija creyó que uno de 20 la quería pa algo serio
arm,f,A mí diciembre no me va agarrar solo.
arm,f,Bad Bunny mood ):
arm,f,Por eso estudien química amigos !!!
arm,f,¿Cómo supiste que era #Piscis?
arm,f,"pinche karma pss si tampoco te debo tantas, ya bajale wey"
arm,f,"La maestra leyendo la parte donde cuento la historia con ""mi casi algo"" con detalle, nombres, fechas, lágrimas en el papel y capturas de pantalla:"
arm,f,Así quiero andar con mis chikaaas jajajajaja
arm,f,"Necesito unas guamas Banqueteras, para ponerme así como la Lupe a puro llorar ...."
arm,f,Desde aquí supe que era un pndjo
arm,f,Le tiene miedo al éxito
arm,f,Ni porque cierro la puerta de mi cuarto jajajajajaja
arm,f,Que feo que sea así jajajaja
arm,f,No alcance a poner mi agua para bañarme y la olla ya esta llena de pozole
arm,f,"Ya wey, no comes ni a tus horas y quieres desayunar tequila"
arm,f,Solo quedan los recuerdos
arm,f,Cuando el wey que te costó superar te manda un mensaje:
arm,f,"Uff, esa película"
arm,f,Que mensa estábamos JAJAJAJAJA
ijm,m,"Elige el juego que quieras, mi vida, yo pago *lo nalguea y le da una relación estable*"
ijm,m,De último momento: nuevas imágenes de la película de Buzz Lightyear.
ijm,m,Excelente campaña
ijm,m,Todas las ferias de México este año:
ijm,m,When los narcos tienen más consciencia ambiental que el gobierno.
ijm,m,WTF tiene el descaro de celar a la chica? por cierto que crack
